2026/05/28 12:31:08.478, 0, 0, 0, 0, 143771, 77.20
2026/05/28 12:31:13.509, 0, 0, 0, 0, 143771, 75.61
2026/05/28 12:31:18.537, 0, 0, 0, 0, 143771, 75.60
2026/05/28 12:31:23.564, 0, 0, 0, 537, 143771, 113.00
2026/05/28 12:31:28.592, 0, 12, 2, 1539, 143771, 134.29
2026/05/28 12:31:33.620, 0, 8, 1, 1539, 143771, 134.90
2026/05/28 12:31:38.646, 0, 6, 1, 1541, 143771, 136.75
2026/05/28 12:31:43.673, 0, 21, 0, 1541, 143771, 120.17
2026/05/28 12:31:48.702, 0, 21, 0, 1541, 143771, 120.18
2026/05/28 12:31:53.729, 0, 21, 0, 1541, 143771, 120.11
2026/05/28 12:31:58.755, 0, 21, 0, 1541, 143771, 119.92
2026/05/28 12:32:03.783, 0, 21, 0, 1541, 143771, 120.02
2026/05/28 12:32:08.816, 0, 21, 0, 1541, 143771, 119.99
2026/05/28 12:32:13.849, 0, 21, 0, 1541, 143771, 119.95
2026/05/28 12:32:18.875, 0, 21, 0, 1541, 143771, 119.97
2026/05/28 12:32:23.902, 0, 19, 0, 1541, 143771, 119.86
2026/05/28 12:32:28.927, 0, 21, 0, 1541, 143771, 119.80
2026/05/28 12:32:33.953, 0, 21, 0, 1541, 143771, 119.83
2026/05/28 12:32:38.979, 0, 21, 0, 1541, 143771, 119.87
2026/05/28 12:32:44.004, 0, 21, 0, 1541, 143771, 119.78
2026/05/28 12:32:49.030, 0, 21, 0, 1541, 143771, 119.68
2026/05/28 12:32:54.055, 0, 21, 0, 1541, 143771, 119.69
2026/05/28 12:32:59.081, 0, 21, 0, 1541, 143771, 119.68
2026/05/28 12:33:04.106, 0, 21, 0, 1541, 143771, 119.71
2026/05/28 12:33:09.131, 0, 21, 0, 1541, 143771, 119.61
2026/05/28 12:33:14.157, 0, 22, 0, 1541, 143771, 119.69
2026/05/28 12:33:19.185, 0, 22, 0, 1541, 143771, 119.57
2026/05/28 12:33:24.212, 0, 21, 0, 1541, 143771, 119.59
2026/05/28 12:33:29.237, 0, 22, 0, 1541, 143771, 119.60
2026/05/28 12:33:34.263, 0, 20, 0, 1541, 143771, 119.59
2026/05/28 12:33:39.288, 0, 0, 0, 1541, 143771, 116.84
2026/05/28 12:33:44.316, 0, 0, 0, 1541, 143771, 116.77
2026/05/28 12:33:49.344, 0, 0, 0, 1541, 143771, 116.74
2026/05/28 12:33:54.376, 0, 0, 0, 1541, 143771, 116.77
2026/05/28 12:33:59.414, 0, 0, 0, 1541, 143771, 116.72
2026/05/28 12:34:04.441, 0, 0, 0, 1541, 143771, 116.70
2026/05/28 12:34:09.467, 0, 0, 0, 1541, 143771, 116.71
2026/05/28 12:34:14.493, 0, 0, 0, 1541, 143771, 116.69
2026/05/28 12:34:19.519, 0, 0, 0, 1541, 143771, 116.66
2026/05/28 12:34:24.546, 0, 24, 0, 1541, 143771, 119.84
2026/05/28 12:34:29.611, 0, 0, 0, 0, 143771, 117.16
