2026/05/28 20:31:55.057, 0, NVIDIA H200, 0, 0, 0, 143771, 81.23
2026/05/28 20:32:05.085, 0, NVIDIA H200, 0, 0, 0, 143771, 81.53
2026/05/28 20:32:15.116, 0, NVIDIA H200, 0, 0, 0, 143771, 81.76
2026/05/28 20:32:25.143, 0, NVIDIA H200, 0, 0, 0, 143771, 81.86
2026/05/28 20:32:35.173, 0, NVIDIA H200, 0, 0, 0, 143771, 81.97
2026/05/28 20:32:45.202, 0, NVIDIA H200, 0, 0, 0, 143771, 81.94
2026/05/28 20:32:55.233, 0, NVIDIA H200, 0, 0, 0, 143771, 81.86
2026/05/28 20:33:05.262, 0, NVIDIA H200, 0, 0, 0, 143771, 81.74
2026/05/28 20:33:15.293, 0, NVIDIA H200, 0, 0, 2167, 143771, 127.33
2026/05/28 20:33:25.320, 0, NVIDIA H200, 26, 4, 4041, 143771, 231.74
2026/05/28 20:33:35.348, 0, NVIDIA H200, 26, 4, 4041, 143771, 231.80
2026/05/28 20:33:45.375, 0, NVIDIA H200, 35, 6, 4041, 143771, 231.22
2026/05/28 20:33:55.404, 0, NVIDIA H200, 26, 4, 4041, 143771, 224.51
2026/05/28 20:34:05.435, 0, NVIDIA H200, 26, 4, 4041, 143771, 227.74
2026/05/28 20:34:15.463, 0, NVIDIA H200, 57, 13, 7257, 143771, 338.64
2026/05/28 20:34:25.490, 0, NVIDIA H200, 48, 10, 7257, 143771, 342.09
2026/05/28 20:34:35.518, 0, NVIDIA H200, 74, 15, 7257, 143771, 337.58
2026/05/28 20:34:45.544, 0, NVIDIA H200, 50, 11, 7257, 143771, 355.02
2026/05/28 20:34:55.574, 0, NVIDIA H200, 41, 8, 7257, 143771, 332.67
2026/05/28 20:35:05.603, 0, NVIDIA H200, 74, 15, 7257, 143771, 350.90
2026/05/28 20:35:15.630, 0, NVIDIA H200, 74, 15, 7257, 143771, 354.70
2026/05/28 20:35:25.660, 0, NVIDIA H200, 41, 8, 7257, 143771, 340.31
2026/05/28 20:35:35.688, 0, NVIDIA H200, 75, 15, 7259, 143771, 349.89
2026/05/28 20:35:45.715, 0, NVIDIA H200, 41, 9, 7259, 143771, 345.65
2026/05/28 20:35:55.742, 0, NVIDIA H200, 50, 10, 7259, 143771, 337.38
2026/05/28 20:36:05.771, 0, NVIDIA H200, 66, 14, 7259, 143771, 348.32
2026/05/28 20:36:15.798, 0, NVIDIA H200, 49, 10, 7259, 143771, 348.81
2026/05/28 20:36:25.826, 0, NVIDIA H200, 78, 16, 7259, 143771, 336.62
2026/05/28 20:36:35.853, 0, NVIDIA H200, 51, 10, 7259, 143771, 331.52
2026/05/28 20:36:45.882, 0, NVIDIA H200, 75, 15, 7259, 143771, 351.27
2026/05/28 20:36:55.909, 0, NVIDIA H200, 50, 11, 7259, 143771, 359.59
2026/05/28 20:37:05.936, 0, NVIDIA H200, 40, 8, 7259, 143771, 340.20
2026/05/28 20:37:15.963, 0, NVIDIA H200, 40, 9, 7259, 143771, 348.56
2026/05/28 20:37:25.991, 0, NVIDIA H200, 39, 8, 7259, 143771, 331.73
2026/05/28 20:37:36.021, 0, NVIDIA H200, 40, 8, 7259, 143771, 339.11
2026/05/28 20:37:46.046, 0, NVIDIA H200, 45, 9, 7259, 143771, 344.45
2026/05/28 20:37:56.075, 0, NVIDIA H200, 54, 12, 7259, 143771, 340.27
2026/05/28 20:38:06.102, 0, NVIDIA H200, 41, 9, 7259, 143771, 357.55
2026/05/28 20:38:16.129, 0, NVIDIA H200, 41, 9, 7259, 143771, 351.94
2026/05/28 20:38:26.156, 0, NVIDIA H200, 73, 15, 7259, 143771, 347.41
2026/05/28 20:38:36.181, 0, NVIDIA H200, 44, 9, 7259, 143771, 363.52
2026/05/28 20:38:46.210, 0, NVIDIA H200, 36, 8, 7259, 143771, 332.98
2026/05/28 20:38:56.238, 0, NVIDIA H200, 34, 8, 7259, 143771, 326.25
2026/05/28 20:39:06.270, 0, NVIDIA H200, 62, 13, 7259, 143771, 335.53
2026/05/28 20:39:16.299, 0, NVIDIA H200, 60, 13, 7259, 143771, 343.19
2026/05/28 20:39:26.328, 0, NVIDIA H200, 39, 8, 7259, 143771, 342.84
2026/05/28 20:39:36.357, 0, NVIDIA H200, 0, 0, 7259, 143771, 131.47
2026/05/28 20:39:46.384, 0, NVIDIA H200, 60, 13, 7259, 143771, 337.13
2026/05/28 20:39:56.410, 0, NVIDIA H200, 8, 2, 7357, 143771, 166.58
2026/05/28 20:40:06.438, 0, NVIDIA H200, 12, 0, 7375, 143771, 129.38
2026/05/28 20:40:16.466, 0, NVIDIA H200, 46, 10, 7375, 143771, 151.69
2026/05/28 20:40:26.494, 0, NVIDIA H200, 13, 0, 7375, 143771, 163.66
2026/05/28 20:40:36.523, 0, NVIDIA H200, 14, 0, 7375, 143771, 128.05
2026/05/28 20:40:46.550, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.68
2026/05/28 20:40:56.578, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.68
2026/05/28 20:41:06.604, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.44
2026/05/28 20:41:16.631, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.37
2026/05/28 20:41:26.659, 0, NVIDIA H200, 36, 7, 7375, 143771, 162.14
2026/05/28 20:41:36.688, 0, NVIDIA H200, 13, 0, 7375, 143771, 150.44
2026/05/28 20:41:46.716, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.48
2026/05/28 20:41:56.740, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.32
2026/05/28 20:42:06.767, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.33
2026/05/28 20:42:16.793, 0, NVIDIA H200, 0, 0, 7375, 143771, 127.10
2026/05/28 20:42:26.820, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.91
2026/05/28 20:42:36.845, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.90
2026/05/28 20:42:46.871, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.81
2026/05/28 20:42:56.899, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.82
2026/05/28 20:43:06.926, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.84
2026/05/28 20:43:16.952, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.76
2026/05/28 20:43:26.979, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.69
2026/05/28 20:43:37.005, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.71
2026/05/28 20:43:47.032, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.70
2026/05/28 20:43:57.059, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.70
2026/05/28 20:44:07.084, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.78
2026/05/28 20:44:17.111, 0, NVIDIA H200, 0, 0, 7375, 143771, 126.72
2026/05/28 20:44:27.140, 0, NVIDIA H200, 13, 0, 7375, 143771, 138.01
2026/05/28 20:44:37.164, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.17
2026/05/28 20:44:47.189, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.18
2026/05/28 20:44:57.214, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.19
2026/05/28 20:45:07.240, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.11
2026/05/28 20:45:17.268, 0, NVIDIA H200, 12, 0, 7375, 143771, 127.14
2026/05/28 20:45:27.295, 0, NVIDIA H200, 43, 8, 7375, 143771, 170.41
2026/05/28 20:45:37.323, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.32
2026/05/28 20:45:47.350, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.24
2026/05/28 20:45:57.377, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.26
2026/05/28 20:46:07.402, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.15
2026/05/28 20:46:17.429, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.19
2026/05/28 20:46:27.455, 0, NVIDIA H200, 15, 3, 7375, 143771, 136.33
2026/05/28 20:46:37.482, 0, NVIDIA H200, 13, 0, 7375, 143771, 193.91
2026/05/28 20:46:47.510, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.38
2026/05/28 20:46:57.536, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.31
2026/05/28 20:47:07.562, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.26
2026/05/28 20:47:17.589, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.10
2026/05/28 20:47:27.613, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.08
2026/05/28 20:47:37.638, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.09
2026/05/28 20:47:47.663, 0, NVIDIA H200, 13, 0, 7375, 143771, 211.92
2026/05/28 20:47:57.689, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.34
2026/05/28 20:48:07.714, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.19
2026/05/28 20:48:17.740, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.11
2026/05/28 20:48:27.766, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.03
2026/05/28 20:48:37.792, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.12
2026/05/28 20:48:47.820, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.09
2026/05/28 20:48:57.845, 0, NVIDIA H200, 48, 10, 7375, 143771, 243.71
2026/05/28 20:49:07.869, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.36
2026/05/28 20:49:17.894, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.20
2026/05/28 20:49:27.918, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.15
2026/05/28 20:49:37.942, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.15
2026/05/28 20:49:47.968, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.09
2026/05/28 20:49:57.994, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.03
2026/05/28 20:50:08.020, 0, NVIDIA H200, 35, 6, 7375, 143771, 185.20
2026/05/28 20:50:18.048, 0, NVIDIA H200, 13, 0, 7375, 143771, 130.25
2026/05/28 20:50:28.072, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.29
2026/05/28 20:50:38.097, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.23
2026/05/28 20:50:48.123, 0, NVIDIA H200, 14, 0, 7375, 143771, 127.12
2026/05/28 20:50:58.148, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.09
2026/05/28 20:51:08.173, 0, NVIDIA H200, 13, 0, 7375, 143771, 127.09
2026/05/28 20:51:18.200, 0, NVIDIA H200, 21, 1, 7375, 143771, 134.72
