timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 19:26:15.616, 0, NVIDIA H200, 0, 0, 0, 143771, 79.83
2026/05/28 19:26:20.644, 0, NVIDIA H200, 0, 0, 0, 143771, 79.77
2026/05/28 19:26:25.677, 0, NVIDIA H200, 0, 0, 0, 143771, 79.72
2026/05/28 19:26:30.703, 0, NVIDIA H200, 0, 0, 0, 143771, 79.64
2026/05/28 19:26:35.732, 0, NVIDIA H200, 0, 0, 0, 143771, 79.64
2026/05/28 19:26:40.760, 0, NVIDIA H200, 0, 0, 0, 143771, 79.58
2026/05/28 19:26:45.789, 0, NVIDIA H200, 0, 0, 0, 143771, 79.50
2026/05/28 19:26:50.818, 0, NVIDIA H200, 0, 0, 0, 143771, 79.49
2026/05/28 19:26:55.848, 0, NVIDIA H200, 0, 0, 0, 143771, 79.42
2026/05/28 19:27:00.877, 0, NVIDIA H200, 0, 0, 0, 143771, 79.40
2026/05/28 19:27:05.907, 0, NVIDIA H200, 0, 0, 0, 143771, 79.39
2026/05/28 19:27:10.936, 0, NVIDIA H200, 0, 0, 0, 143771, 79.34
2026/05/28 19:27:15.964, 0, NVIDIA H200, 0, 0, 0, 143771, 79.30
2026/05/28 19:27:20.992, 0, NVIDIA H200, 0, 0, 0, 143771, 79.28
2026/05/28 19:27:26.019, 0, NVIDIA H200, 0, 0, 0, 143771, 79.27
2026/05/28 19:27:31.048, 0, NVIDIA H200, 0, 0, 0, 143771, 79.18
2026/05/28 19:27:36.077, 0, NVIDIA H200, 0, 0, 0, 143771, 79.17
2026/05/28 19:27:41.105, 0, NVIDIA H200, 0, 0, 0, 143771, 79.18
2026/05/28 19:27:46.134, 0, NVIDIA H200, 0, 0, 0, 143771, 79.15
2026/05/28 19:27:51.165, 0, NVIDIA H200, 0, 0, 0, 143771, 79.12
2026/05/28 19:27:56.193, 0, NVIDIA H200, 0, 0, 0, 143771, 79.12
2026/05/28 19:28:01.224, 0, NVIDIA H200, 0, 0, 0, 143771, 79.11
2026/05/28 19:28:06.251, 0, NVIDIA H200, 0, 0, 0, 143771, 79.04
2026/05/28 19:28:11.280, 0, NVIDIA H200, 0, 0, 0, 143771, 79.01
2026/05/28 19:28:16.308, 0, NVIDIA H200, 0, 0, 0, 143771, 79.03
2026/05/28 19:28:21.336, 0, NVIDIA H200, 0, 0, 0, 143771, 79.02
2026/05/28 19:28:26.366, 0, NVIDIA H200, 0, 0, 0, 143771, 79.00
2026/05/28 19:28:31.396, 0, NVIDIA H200, 0, 0, 0, 143771, 78.96
2026/05/28 19:28:36.422, 0, NVIDIA H200, 0, 0, 0, 143771, 78.81
2026/05/28 19:28:41.450, 0, NVIDIA H200, 0, 0, 0, 143771, 78.85
2026/05/28 19:28:46.478, 0, NVIDIA H200, 0, 0, 0, 143771, 78.75
2026/05/28 19:28:51.506, 0, NVIDIA H200, 12, 2, 4041, 143771, 134.06
2026/05/28 19:28:56.533, 0, NVIDIA H200, 33, 5, 4041, 143771, 223.86
2026/05/28 19:29:01.558, 0, NVIDIA H200, 26, 4, 4041, 143771, 219.56
2026/05/28 19:29:06.586, 0, NVIDIA H200, 31, 5, 4041, 143771, 226.14
2026/05/28 19:29:11.611, 0, NVIDIA H200, 26, 4, 4041, 143771, 227.93
2026/05/28 19:29:16.637, 0, NVIDIA H200, 26, 4, 4041, 143771, 221.52
2026/05/28 19:29:21.663, 0, NVIDIA H200, 26, 4, 4041, 143771, 225.54
2026/05/28 19:29:26.689, 0, NVIDIA H200, 35, 6, 4041, 143771, 231.71
2026/05/28 19:29:31.715, 0, NVIDIA H200, 40, 6, 4041, 143771, 231.11
2026/05/28 19:29:36.740, 0, NVIDIA H200, 26, 4, 4041, 143771, 228.59
2026/05/28 19:29:41.766, 0, NVIDIA H200, 26, 4, 4041, 143771, 230.27
2026/05/28 19:29:46.792, 0, NVIDIA H200, 41, 9, 7255, 143771, 355.54
2026/05/28 19:29:51.819, 0, NVIDIA H200, 38, 8, 7255, 143771, 351.69
2026/05/28 19:29:56.845, 0, NVIDIA H200, 41, 9, 7255, 143771, 340.25
2026/05/28 19:30:01.871, 0, NVIDIA H200, 40, 9, 7255, 143771, 355.78
2026/05/28 19:30:06.899, 0, NVIDIA H200, 39, 8, 7255, 143771, 339.43
2026/05/28 19:30:11.926, 0, NVIDIA H200, 38, 8, 7255, 143771, 344.02
2026/05/28 19:30:16.955, 0, NVIDIA H200, 75, 15, 7255, 143771, 351.44
2026/05/28 19:30:21.983, 0, NVIDIA H200, 42, 9, 7255, 143771, 342.60
2026/05/28 19:30:27.010, 0, NVIDIA H200, 75, 15, 7255, 143771, 351.22
2026/05/28 19:30:32.038, 0, NVIDIA H200, 42, 9, 7255, 143771, 343.80
2026/05/28 19:30:37.064, 0, NVIDIA H200, 75, 15, 7255, 143771, 361.89
2026/05/28 19:30:42.090, 0, NVIDIA H200, 39, 7, 7255, 143771, 340.32
2026/05/28 19:30:47.115, 0, NVIDIA H200, 41, 8, 7255, 143771, 346.46
2026/05/28 19:30:52.142, 0, NVIDIA H200, 39, 8, 7255, 143771, 351.48
2026/05/28 19:30:57.167, 0, NVIDIA H200, 54, 12, 7255, 143771, 358.99
2026/05/28 19:31:02.192, 0, NVIDIA H200, 75, 15, 7255, 143771, 339.89
2026/05/28 19:31:07.221, 0, NVIDIA H200, 75, 15, 7255, 143771, 345.09
2026/05/28 19:31:12.250, 0, NVIDIA H200, 52, 11, 7257, 143771, 361.57
2026/05/28 19:31:17.276, 0, NVIDIA H200, 44, 9, 7257, 143771, 356.92
2026/05/28 19:31:22.304, 0, NVIDIA H200, 38, 8, 7257, 143771, 337.49
2026/05/28 19:31:27.332, 0, NVIDIA H200, 40, 8, 7257, 143771, 351.84
2026/05/28 19:31:32.358, 0, NVIDIA H200, 71, 14, 7257, 143771, 358.02
2026/05/28 19:31:37.386, 0, NVIDIA H200, 75, 15, 7257, 143771, 343.46
2026/05/28 19:31:42.413, 0, NVIDIA H200, 43, 9, 7257, 143771, 343.90
2026/05/28 19:31:47.440, 0, NVIDIA H200, 49, 11, 7257, 143771, 356.44
2026/05/28 19:31:52.467, 0, NVIDIA H200, 56, 10, 7257, 143771, 340.42
2026/05/28 19:31:57.495, 0, NVIDIA H200, 69, 14, 7257, 143771, 357.55
2026/05/28 19:32:02.529, 0, NVIDIA H200, 75, 15, 7257, 143771, 360.76
2026/05/28 19:32:07.566, 0, NVIDIA H200, 41, 8, 7257, 143771, 347.08
2026/05/28 19:32:12.591, 0, NVIDIA H200, 71, 14, 7257, 143771, 341.01
2026/05/28 19:32:17.618, 0, NVIDIA H200, 70, 14, 7257, 143771, 356.94
2026/05/28 19:32:22.646, 0, NVIDIA H200, 39, 8, 7257, 143771, 356.85
2026/05/28 19:32:27.673, 0, NVIDIA H200, 73, 15, 7257, 143771, 351.64
2026/05/28 19:32:32.700, 0, NVIDIA H200, 48, 10, 7257, 143771, 351.00
2026/05/28 19:32:37.726, 0, NVIDIA H200, 76, 16, 7257, 143771, 361.98
2026/05/28 19:32:42.755, 0, NVIDIA H200, 55, 10, 7257, 143771, 350.61
2026/05/28 19:32:47.781, 0, NVIDIA H200, 75, 15, 7257, 143771, 349.67
2026/05/28 19:32:52.808, 0, NVIDIA H200, 43, 9, 7257, 143771, 363.12
2026/05/28 19:32:57.835, 0, NVIDIA H200, 59, 13, 7257, 143771, 358.88
2026/05/28 19:33:02.863, 0, NVIDIA H200, 61, 13, 7257, 143771, 358.22
2026/05/28 19:33:07.890, 0, NVIDIA H200, 52, 11, 7257, 143771, 360.82
2026/05/28 19:33:12.915, 0, NVIDIA H200, 58, 13, 7257, 143771, 364.06
2026/05/28 19:33:17.942, 0, NVIDIA H200, 75, 15, 7257, 143771, 361.05
2026/05/28 19:33:22.967, 0, NVIDIA H200, 66, 13, 7257, 143771, 348.55
2026/05/28 19:33:27.993, 0, NVIDIA H200, 43, 8, 7257, 143771, 357.38
2026/05/28 19:33:33.021, 0, NVIDIA H200, 39, 8, 7257, 143771, 356.45
2026/05/28 19:33:38.046, 0, NVIDIA H200, 65, 13, 7257, 143771, 359.54
2026/05/28 19:33:43.072, 0, NVIDIA H200, 75, 15, 7257, 143771, 343.64
2026/05/28 19:33:48.099, 0, NVIDIA H200, 49, 10, 7257, 143771, 362.77
2026/05/28 19:33:53.126, 0, NVIDIA H200, 40, 9, 7257, 143771, 362.46
2026/05/28 19:33:58.153, 0, NVIDIA H200, 48, 10, 7259, 143771, 364.42
2026/05/28 19:34:03.181, 0, NVIDIA H200, 40, 8, 7259, 143771, 362.67
