timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 14:19:37.931, 0, 0, 0, 0, 143771, 76.22
2026/05/28 14:19:47.961, 0, 0, 0, 0, 143771, 76.24
2026/05/28 14:19:57.990, 0, 0, 0, 0, 143771, 76.23
2026/05/28 14:20:08.021, 0, 0, 0, 0, 143771, 76.19
2026/05/28 14:20:18.053, 0, 0, 0, 0, 143771, 76.09
2026/05/28 14:20:28.082, 0, 0, 0, 0, 143771, 76.00
2026/05/28 14:20:38.112, 0, 0, 0, 0, 143771, 76.05
2026/05/28 14:20:48.142, 0, 0, 0, 0, 143771, 76.07
2026/05/28 14:20:58.171, 0, 0, 0, 0, 143771, 76.09
2026/05/28 14:21:08.201, 0, 0, 0, 0, 143771, 76.08
2026/05/28 14:21:18.230, 0, 0, 0, 0, 143771, 76.06
2026/05/28 14:21:28.261, 0, 0, 0, 0, 143771, 76.08
2026/05/28 14:21:38.291, 0, 0, 0, 0, 143771, 76.12
2026/05/28 14:21:48.320, 0, 0, 0, 0, 143771, 76.08
2026/05/28 14:21:58.349, 0, 0, 0, 0, 143771, 76.09
2026/05/28 14:22:08.378, 0, 0, 0, 0, 143771, 76.08
2026/05/28 14:22:18.407, 0, 0, 0, 0, 143771, 76.08
2026/05/28 14:22:28.436, 0, 0, 0, 0, 143771, 76.06
2026/05/28 14:22:38.468, 0, 0, 0, 0, 143771, 76.07
2026/05/28 14:22:48.497, 0, 0, 0, 0, 143771, 76.07
2026/05/28 14:22:58.527, 0, 0, 0, 0, 143771, 76.04
2026/05/28 14:23:08.556, 0, 0, 0, 0, 143771, 76.04
2026/05/28 14:23:18.585, 0, 0, 0, 537, 143771, 117.33
2026/05/28 14:23:28.615, 0, 0, 0, 537, 143771, 117.43
2026/05/28 14:23:38.643, 0, 9, 1, 2205, 143771, 136.45
2026/05/28 14:23:48.672, 0, 0, 0, 2205, 143771, 134.98
2026/05/28 14:23:58.698, 0, 0, 0, 2205, 143771, 135.64
2026/05/28 14:24:08.726, 0, 9, 1, 2205, 143771, 138.33
2026/05/28 14:24:18.753, 0, 3, 1, 2205, 143771, 136.12
2026/05/28 14:24:28.781, 0, 11, 2, 2205, 143771, 136.30
2026/05/28 14:24:38.808, 0, 11, 2, 2205, 143771, 135.85
2026/05/28 14:24:48.836, 0, 0, 0, 2205, 143771, 135.63
2026/05/28 14:24:58.863, 0, 0, 0, 2205, 143771, 137.03
2026/05/28 14:25:08.890, 0, 0, 0, 2205, 143771, 135.75
2026/05/28 14:25:18.916, 0, 0, 0, 2211, 143771, 133.86
2026/05/28 14:25:28.942, 0, 11, 2, 2211, 143771, 134.64
2026/05/28 14:25:38.973, 0, 0, 0, 2211, 143771, 134.89
2026/05/28 14:25:49.021, 0, 0, 0, 2211, 143771, 135.27
2026/05/28 14:25:59.050, 0, 0, 0, 2211, 143771, 135.57
2026/05/28 14:26:09.079, 0, 0, 0, 2211, 143771, 135.68
2026/05/28 14:26:19.106, 0, 0, 0, 2211, 143771, 135.84
2026/05/28 14:26:29.139, 0, 11, 2, 2211, 143771, 136.36
2026/05/28 14:26:39.173, 0, 0, 0, 2211, 143771, 136.49
2026/05/28 14:26:49.200, 0, 0, 0, 2211, 143771, 135.16
2026/05/28 14:26:59.227, 0, 8, 1, 2211, 143771, 136.98
2026/05/28 14:27:09.254, 0, 21, 0, 2211, 143771, 120.41
2026/05/28 14:27:19.281, 0, 21, 0, 2211, 143771, 120.54
2026/05/28 14:27:29.308, 0, 21, 0, 2211, 143771, 120.44
2026/05/28 14:27:39.333, 0, 21, 0, 2211, 143771, 120.44
2026/05/28 14:27:49.358, 0, 21, 0, 2211, 143771, 120.40
2026/05/28 14:27:59.385, 0, 21, 0, 2211, 143771, 120.44
2026/05/28 14:28:09.411, 0, 21, 0, 2211, 143771, 120.38
2026/05/28 14:28:19.438, 0, 21, 0, 2211, 143771, 120.32
2026/05/28 14:28:29.465, 0, 21, 0, 2211, 143771, 120.38
2026/05/28 14:28:39.493, 0, 21, 0, 2211, 143771, 120.33
2026/05/28 14:28:49.520, 0, 21, 0, 2211, 143771, 120.33
2026/05/28 14:28:59.548, 0, 21, 0, 2211, 143771, 120.38
2026/05/28 14:29:09.576, 0, 0, 0, 2211, 143771, 117.74
2026/05/28 14:29:19.602, 0, 0, 0, 2211, 143771, 117.75
2026/05/28 14:29:29.628, 0, 0, 0, 2211, 143771, 117.75
2026/05/28 14:29:39.655, 0, 0, 0, 2211, 143771, 117.75
2026/05/28 14:29:49.681, 0, 0, 0, 2211, 143771, 117.72
2026/05/28 14:29:59.706, 0, 0, 0, 2211, 143771, 117.79
2026/05/28 14:30:09.732, 0, 0, 0, 2211, 143771, 117.76
2026/05/28 14:30:19.758, 0, 0, 0, 2211, 143771, 117.79
2026/05/28 14:30:29.785, 0, 0, 0, 2211, 143771, 117.78
2026/05/28 14:30:39.811, 0, 0, 0, 2211, 143771, 117.73
2026/05/28 14:30:49.837, 0, 23, 0, 2211, 143771, 120.64
2026/05/28 14:30:59.864, 0, 21, 0, 2211, 143771, 120.38
2026/05/28 14:31:09.891, 0, 0, 0, 2211, 143771, 117.76
