timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 11:18:13.798, 0, 0, 0, 0, 143771, 80.90
2026/05/28 11:18:18.826, 0, 0, 0, 0, 143771, 80.80
2026/05/28 11:18:23.854, 0, 0, 0, 529, 143771, 124.28
2026/05/28 11:18:28.880, 0, 7, 0, 925, 143771, 134.13
2026/05/28 11:18:33.906, 0, 23, 0, 925, 143771, 125.99
2026/05/28 11:18:38.932, 0, 21, 0, 925, 143771, 125.81
2026/05/28 11:18:43.958, 0, 24, 0, 925, 143771, 125.86
2026/05/28 11:18:48.985, 0, 24, 0, 925, 143771, 125.79
2026/05/28 11:18:54.012, 0, 24, 0, 925, 143771, 125.76
2026/05/28 11:18:59.038, 0, 23, 0, 925, 143771, 125.67
2026/05/28 11:19:04.065, 0, 24, 0, 925, 143771, 125.60
2026/05/28 11:19:09.092, 0, 24, 0, 925, 143771, 125.61
2026/05/28 11:19:14.120, 0, 24, 0, 925, 143771, 125.54
2026/05/28 11:19:19.147, 0, 24, 0, 925, 143771, 125.49
2026/05/28 11:19:24.174, 0, 24, 0, 925, 143771, 125.01
