timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/31 01:08:56.418, 0, 0, 0, 0, 143771, 84.72
2026/05/31 01:09:06.446, 0, 0, 0, 615, 143771, 131.40
2026/05/31 01:09:16.469, 0, 0, 0, 615, 143771, 131.93
2026/05/31 01:09:26.496, 0, 0, 0, 2753, 143771, 178.01
2026/05/31 01:09:36.522, 0, 0, 0, 2753, 143771, 187.54
2026/05/31 01:09:46.550, 0, 0, 0, 2753, 143771, 193.76
2026/05/31 01:09:56.575, 0, 0, 0, 2753, 143771, 176.23
2026/05/31 01:10:06.602, 0, 0, 0, 2753, 143771, 133.57
2026/05/31 01:10:16.657, 0, 0, 0, 2753, 143771, 133.12
2026/05/31 01:10:26.732, 0, 0, 0, 2753, 143771, 132.74
2026/05/31 01:10:36.758, 0, 0, 0, 2753, 143771, 132.38
2026/05/31 01:10:46.782, 0, 0, 0, 2753, 143771, 132.09
2026/05/31 01:10:56.810, 0, 0, 0, 2753, 143771, 131.87
2026/05/31 01:11:06.836, 0, 0, 0, 2753, 143771, 131.70
2026/05/31 01:11:16.862, 0, 0, 0, 2753, 143771, 131.56
2026/05/31 01:11:26.888, 0, 0, 0, 2753, 143771, 131.40
2026/05/31 01:11:36.913, 0, 0, 0, 2753, 143771, 131.37
2026/05/31 01:11:46.938, 0, 0, 0, 2753, 143771, 131.27
2026/05/31 01:11:56.962, 0, 0, 0, 2753, 143771, 131.19
2026/05/31 01:12:06.988, 0, 0, 0, 2753, 143771, 131.14
2026/05/31 01:12:17.015, 0, 0, 0, 2753, 143771, 131.12
2026/05/31 01:12:27.042, 0, 0, 0, 2753, 143771, 131.01
2026/05/31 01:12:37.068, 0, 0, 0, 2753, 143771, 131.01
2026/05/31 01:12:47.093, 0, 0, 0, 2753, 143771, 130.96
2026/05/31 01:12:57.120, 0, 0, 0, 2753, 143771, 130.96
2026/05/31 01:13:07.147, 0, 0, 0, 2753, 143771, 131.40
2026/05/31 01:13:17.173, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:13:27.200, 0, 42, 9, 2753, 143771, 216.76
2026/05/31 01:13:37.228, 0, 0, 0, 2753, 143771, 131.61
2026/05/31 01:13:47.254, 0, 0, 0, 2753, 143771, 131.40
2026/05/31 01:13:57.285, 0, 48, 10, 2753, 143771, 183.48
2026/05/31 01:14:07.314, 0, 0, 0, 2753, 143771, 131.67
2026/05/31 01:14:17.341, 0, 0, 0, 2753, 143771, 131.38
2026/05/31 01:14:27.366, 0, 1, 0, 2753, 143771, 133.21
2026/05/31 01:14:37.393, 0, 0, 0, 2753, 143771, 193.26
2026/05/31 01:14:47.421, 0, 0, 0, 2753, 143771, 131.40
2026/05/31 01:14:57.447, 0, 0, 0, 2753, 143771, 131.30
2026/05/31 01:15:07.473, 0, 0, 0, 2753, 143771, 246.70
2026/05/31 01:15:17.501, 0, 0, 0, 2753, 143771, 131.46
2026/05/31 01:15:27.527, 0, 0, 0, 2753, 143771, 131.24
2026/05/31 01:15:37.552, 0, 0, 0, 2753, 143771, 247.61
2026/05/31 01:15:47.578, 0, 0, 0, 2753, 143771, 131.48
2026/05/31 01:15:57.606, 0, 0, 0, 2753, 143771, 131.29
2026/05/31 01:16:07.633, 0, 48, 10, 2753, 143771, 248.46
2026/05/31 01:16:17.660, 0, 0, 0, 2753, 143771, 131.53
2026/05/31 01:16:27.688, 0, 0, 0, 2753, 143771, 131.32
2026/05/31 01:16:37.712, 0, 44, 8, 2753, 143771, 214.63
2026/05/31 01:16:47.738, 0, 0, 0, 2753, 143771, 131.59
2026/05/31 01:16:57.764, 0, 0, 0, 2753, 143771, 131.36
2026/05/31 01:17:07.789, 0, 39, 8, 2753, 143771, 192.45
