2026/05/28 12:19:07.736, 0, 0, 0, 0, 143771, 77.76
2026/05/28 12:19:12.766, 0, 0, 0, 0, 143771, 77.69
2026/05/28 12:19:17.794, 0, 0, 0, 0, 143771, 77.76
2026/05/28 12:19:22.822, 0, 0, 0, 537, 143771, 111.25
2026/05/28 12:19:27.848, 0, 6, 1, 1539, 143771, 137.87
2026/05/28 12:19:32.872, 0, 6, 1, 1539, 143771, 139.10
2026/05/28 12:19:37.899, 0, 7, 1, 1541, 143771, 138.59
2026/05/28 12:19:42.923, 0, 21, 0, 1541, 143771, 122.99
2026/05/28 12:19:47.948, 0, 21, 0, 1541, 143771, 123.01
2026/05/28 12:19:52.971, 0, 21, 0, 1541, 143771, 123.04
2026/05/28 12:19:57.996, 0, 21, 0, 1541, 143771, 123.04
2026/05/28 12:20:03.021, 0, 21, 0, 1541, 143771, 123.01
2026/05/28 12:20:08.048, 0, 20, 0, 1541, 143771, 123.07
2026/05/28 12:20:13.075, 0, 22, 0, 1541, 143771, 122.91
2026/05/28 12:20:18.100, 0, 22, 0, 1541, 143771, 123.07
2026/05/28 12:20:23.126, 0, 22, 0, 1541, 143771, 123.10
2026/05/28 12:20:28.149, 0, 21, 0, 1541, 143771, 123.04
2026/05/28 12:20:33.176, 0, 22, 0, 1541, 143771, 123.09
2026/05/28 12:20:38.203, 0, 22, 0, 1541, 143771, 123.10
2026/05/28 12:20:43.231, 0, 22, 0, 1541, 143771, 123.13
2026/05/28 12:20:48.259, 0, 22, 0, 1541, 143771, 123.08
2026/05/28 12:20:53.285, 0, 22, 0, 1541, 143771, 122.95
2026/05/28 12:20:58.308, 0, 22, 0, 1541, 143771, 123.12
2026/05/28 12:21:03.336, 0, 21, 0, 1541, 143771, 123.12
2026/05/28 12:21:08.360, 0, 22, 0, 1541, 143771, 123.15
2026/05/28 12:21:13.386, 0, 22, 0, 1541, 143771, 123.04
2026/05/28 12:21:18.412, 0, 22, 0, 1541, 143771, 123.02
2026/05/28 12:21:23.438, 0, 22, 0, 1541, 143771, 123.10
2026/05/28 12:21:28.462, 0, 22, 0, 1541, 143771, 123.02
2026/05/28 12:21:33.490, 0, 24, 0, 1541, 143771, 123.33
2026/05/28 12:21:38.515, 0, 0, 0, 1541, 143771, 120.17
2026/05/28 12:21:43.539, 0, 0, 0, 1541, 143771, 120.15
2026/05/28 12:21:48.562, 0, 0, 0, 1541, 143771, 120.19
2026/05/28 12:21:53.587, 0, 0, 0, 1541, 143771, 120.14
2026/05/28 12:21:58.612, 0, 0, 0, 1541, 143771, 120.18
2026/05/28 12:22:03.639, 0, 0, 0, 1541, 143771, 120.18
2026/05/28 12:22:08.664, 0, 0, 0, 1541, 143771, 120.13
2026/05/28 12:22:13.690, 0, 0, 0, 1541, 143771, 120.12
2026/05/28 12:22:18.714, 0, 21, 0, 1541, 143771, 122.54
