timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 11:59:47.385, 0, 0, 0, 0, 143771, 75.61
2026/05/28 11:59:52.413, 0, 0, 0, 0, 143771, 75.59
2026/05/28 11:59:57.442, 0, 0, 0, 0, 143771, 75.51
2026/05/28 12:00:02.491, 0, 0, 0, 4, 143771, 75.52
2026/05/28 12:00:07.520, 0, 6, 1, 1415, 143771, 127.50
2026/05/28 12:00:12.547, 0, 9, 1, 1415, 143771, 134.18
2026/05/28 12:00:17.576, 0, 6, 1, 1415, 143771, 134.64
2026/05/28 12:00:22.601, 0, 6, 1, 1415, 143771, 123.43
2026/05/28 12:00:27.628, 0, 23, 0, 1415, 143771, 120.63
2026/05/28 12:00:32.657, 0, 23, 0, 1415, 143771, 120.48
2026/05/28 12:00:37.687, 0, 22, 0, 1415, 143771, 120.40
2026/05/28 12:00:42.713, 0, 23, 0, 1415, 143771, 120.40
2026/05/28 12:00:47.740, 0, 20, 0, 1415, 143771, 120.34
2026/05/28 12:00:52.766, 0, 23, 0, 1415, 143771, 120.29
2026/05/28 12:00:57.792, 0, 23, 0, 1415, 143771, 120.41
2026/05/28 12:01:02.818, 0, 23, 0, 1415, 143771, 120.28
2026/05/28 12:01:07.845, 0, 23, 0, 1415, 143771, 120.19
2026/05/28 12:01:12.873, 0, 23, 0, 1415, 143771, 120.27
2026/05/28 12:01:17.900, 0, 23, 0, 1415, 143771, 120.23
2026/05/28 12:01:22.929, 0, 20, 0, 1415, 143771, 120.19
2026/05/28 12:01:27.956, 0, 23, 0, 1415, 143771, 120.17
2026/05/28 12:01:32.982, 0, 23, 0, 1415, 143771, 120.18
2026/05/28 12:01:38.009, 0, 23, 0, 1415, 143771, 120.24
2026/05/28 12:01:43.034, 0, 23, 0, 1415, 143771, 120.18
2026/05/28 12:01:48.060, 0, 21, 0, 1415, 143771, 120.07
2026/05/28 12:01:53.086, 0, 23, 0, 1415, 143771, 120.08
2026/05/28 12:01:58.114, 0, 23, 0, 1415, 143771, 120.27
2026/05/28 12:02:03.140, 0, 23, 0, 1415, 143771, 120.14
2026/05/28 12:02:08.166, 0, 23, 0, 1415, 143771, 120.16
2026/05/28 12:02:13.192, 0, 22, 0, 1415, 143771, 120.14
2026/05/28 12:02:18.219, 0, 25, 0, 1415, 143771, 120.71
2026/05/28 12:02:23.245, 0, 0, 0, 1415, 143771, 116.31
