timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 11:50:50.389, 0, 0, 0, 0, 143771, 77.34
2026/05/28 11:50:55.418, 0, 0, 0, 0, 143771, 77.31
2026/05/28 11:51:00.445, 0, 0, 0, 0, 143771, 77.24
2026/05/28 11:51:05.489, 0, 0, 0, 23, 143771, 78.60
2026/05/28 11:51:10.518, 0, 12, 2, 1415, 143771, 130.55
2026/05/28 11:51:15.547, 0, 6, 1, 1415, 143771, 137.44
2026/05/28 11:51:20.573, 0, 6, 1, 1415, 143771, 139.73
2026/05/28 11:51:25.599, 0, 12, 2, 1415, 143771, 135.16
2026/05/28 11:51:30.625, 0, 22, 0, 1415, 143771, 123.22
2026/05/28 11:51:35.651, 0, 22, 0, 1415, 143771, 123.33
2026/05/28 11:51:40.682, 0, 22, 0, 1415, 143771, 123.41
2026/05/28 11:51:45.709, 0, 22, 0, 1415, 143771, 123.14
2026/05/28 11:51:50.735, 0, 22, 0, 1415, 143771, 123.24
2026/05/28 11:51:55.763, 0, 22, 0, 1415, 143771, 123.14
2026/05/28 11:52:00.789, 0, 22, 0, 1415, 143771, 123.17
2026/05/28 11:52:05.816, 0, 23, 0, 1415, 143771, 123.22
2026/05/28 11:52:10.841, 0, 23, 0, 1415, 143771, 123.22
2026/05/28 11:52:15.867, 0, 22, 0, 1415, 143771, 123.16
2026/05/28 11:52:20.894, 0, 22, 0, 1415, 143771, 123.15
2026/05/28 11:52:25.920, 0, 22, 0, 1415, 143771, 123.25
2026/05/28 11:52:30.945, 0, 22, 0, 1415, 143771, 123.20
2026/05/28 11:52:35.971, 0, 22, 0, 1415, 143771, 123.18
2026/05/28 11:52:40.996, 0, 22, 0, 1415, 143771, 123.18
2026/05/28 11:52:46.023, 0, 22, 0, 1415, 143771, 123.20
2026/05/28 11:52:51.050, 0, 22, 0, 1415, 143771, 123.28
2026/05/28 11:52:56.079, 0, 23, 0, 1415, 143771, 123.14
2026/05/28 11:53:01.105, 0, 23, 0, 1415, 143771, 123.19
2026/05/28 11:53:06.131, 0, 23, 0, 1415, 143771, 123.12
2026/05/28 11:53:11.156, 0, 23, 0, 1415, 143771, 123.17
2026/05/28 11:53:16.183, 0, 23, 0, 1415, 143771, 123.10
2026/05/28 11:53:21.213, 0, 25, 0, 1415, 143771, 123.59
2026/05/28 11:53:26.261, 0, 0, 0, 1415, 143771, 119.26
